4970	4113
3640	993
4971	1145
2306	2794
3638	993
4969	1145
3639	5170
2305	2
2304	1
2302	474
2301	474
2300	474
3630	6480
3631	11105
4962	9404
4963	3787
3632	993
4964	10233
3633	8174
3634	10609
4965	1197
3635	10362
4966	7042
2309	2002
4967	10908
3636	5057
2308	562
2307	9059
3637	2889
4980	9349
3650	10129
4981	9944
4982	7485
3651	1622
2320	1557
2317	1557
3649	993
2316	1639
2315	562
3	5180
2314	3094
2313	562
4	3320
2312	562
5	3025
6	10213
2311	562
2310	562
7	3928
3641	10853
8	8437
4972	1391
4973	3497
3642	10729
9	4730
3643	10904
4974	7322
4975	1174
3645	10194
4976	5895
3646	8883
4977	8211
3647	4561
2319	1720
4978	718
3648	3886
2318	1557
4979	718
3660	10183
4991	1139
3661	10021
4992	5421
4993	6549
3662	5386
1000	9594
2331	1436
2330	1441
2328	12438
2326	11062
2325	9254
2324	10103
2323	11200
2322	9855
2321	1640
3652	1622
4983	9273
3653	2007
3654	957
4985	658
3655	4290
4986	8687
3656	2891
4987	5339
4988	6500
3657	1825
3658	7978
4989	4167
3659	6794
2329	8381
3670	8510
3671	3850
3673	3663
2342	5685
1011	2643
2341	8883
1010	2187
2340	5796
1008	4639
2339	7572
2338	9353
1007	6495
1006	9218
2337	270
1005	3902
2336	270
1004	5069
2335	271
1003	7349
2334	270
2333	8345
1002	2203
2332	8288
1001	2203
4994	9120
3663	3083
3664	8927
4995	1796
4996	1797
3665	6723
3666	9845
3667	4535
4999	9569
3668	14
3669	1870
1009	7082
3680	9878
3681	8976
3682	8650
3683	4731
3684	1840
1022	8748
2353	668
2352	1887
1021	1281
1020	3681
2351	668
2350	8225
1019	16
1018	9053
2349	2234
2348	7804
1017	16
1016	16
2346	1038
2345	8072
1014	7109
1013	4223
2344	356
1012	8498
2343	1559
3674	1604
3675	1169
3676	1169
3677	2578
3678	6374
3679	1968
3690	1839
3691	10203
3692	5459
3693	1839
3694	1839
3695	1839
2364	10127
1033	2992
1032	9158
2363	1519
1031	9408
2362	6321
1030	3793
2361	89
2360	2883
1029	8298
2359	1615
1028	2256
1027	2779
1026	10744
2357	4294
2356	9932
1025	1281
1024	9403
2355	1014
2354	10248
1023	7040
3685	3237
3686	2501
3687	1839
3688	3982
3689	3743
2375	10121
1044	5459
1043	7273
2374	603
1042	7564
2373	2155
1041	8220
